department,subject,unit,difficulty,question_type,question_text,choices,correct_answer,explanation,tags,source,source_year
NURSING,성인간호학,심혈관계,MEDIUM,SINGLE_CHOICE,심방세동(atrial fibrillation) 환자의 가장 중요한 합병증은?,"[""폐색전증"", ""뇌졸중"", ""심근염"", ""심낭염"", ""심장막삼출""]",1,심방세동은 심방 내 혈전 형성으로 색전성 뇌졸중의 위험을 크게 증가시킨다. 항응고요법이 필수.,"[""심혈관계"", ""부정맥"", ""합병증""]",샘플 시드 (Day 3),
NURSING,성인간호학,심혈관계,HARD,SINGLE_CHOICE,급성 심근경색증 환자에게 우선적으로 투여하는 약물이 아닌 것은?,"[""산소"", ""아스피린"", ""니트로글리세린"", ""베타차단제"", ""와파린""]",4,"MONA(Morphine, Oxygen, Nitroglycerin, Aspirin)가 초기 처치의 기본. 와파린은 장기 항응고제로 급성기에는 사용하지 않는다.","[""심혈관계"", ""AMI"", ""응급간호""]",샘플 시드 (Day 3),
NURSING,성인간호학,심혈관계,EASY,SINGLE_CHOICE,정상 성인의 안정시 평균 수축기 혈압 범위는?,"[""80~99 mmHg"", ""100~119 mmHg"", ""120~129 mmHg"", ""130~139 mmHg"", ""140~159 mmHg""]",1,"정상 혈압은 수축기 120 미만, 이완기 80 미만. 100~119가 정상 범위 내에 해당.","[""혈압"", ""활력징후""]",샘플 시드 (Day 3),
NURSING,성인간호학,호흡기계,MEDIUM,SINGLE_CHOICE,만성폐쇄성폐질환(COPD) 환자에게 산소요법 시 주의해야 할 점은?,"[""고농도 산소를 빠르게 투여한다"", ""산소 농도를 점차 증가시킨다"", ""저농도(1~3L/min) 산소를 투여한다"", ""100% 산소를 투여한다"", ""산소를 투여하지 않는다""]",2,"COPD 환자는 만성적인 고탄산혈증으로 호흡중추가 저산소에 의존하므로, 고농도 산소는 호흡억제를 유발할 수 있다.","[""호흡기계"", ""COPD"", ""산소요법""]",샘플 시드 (Day 3),
NURSING,성인간호학,호흡기계,MEDIUM,SINGLE_CHOICE,결핵 환자 격리 시 사용하는 마스크는?,"[""일반 마스크"", ""수술용 마스크"", ""N95 마스크"", ""면 마스크"", ""투명 안면보호구""]",2,결핵은 비말핵을 통한 공기전파이므로 N95 이상의 호흡기 보호구가 필요하다.,"[""호흡기계"", ""결핵"", ""감염관리""]",샘플 시드 (Day 3),
NURSING,성인간호학,호흡기계,HARD,SINGLE_CHOICE,기관내삽관 환자의 합병증을 예방하기 위한 가장 중요한 간호중재는?,"[""체위 변경을 자주한다"", ""구강간호를 자주한다"", ""흡인을 자주한다"", ""수액을 충분히 공급한다"", ""진정제를 사용한다""]",1,VAP(인공호흡기 관련 폐렴) 예방의 핵심은 클로르헥시딘 구강간호와 두부거상 30~45도 유지.,"[""호흡기계"", ""기관삽관"", ""VAP""]",샘플 시드 (Day 3),
NURSING,성인간호학,소화기계,MEDIUM,SINGLE_CHOICE,위내시경 검사 후 가장 먼저 확인해야 할 것은?,"[""출혈 여부"", ""구토반사 회복"", ""복통 여부"", ""혈압"", ""활력징후""]",1,국소마취로 인해 일시적으로 구토반사가 소실되므로 흡인 위험이 있다. 구토반사 회복을 확인한 후 음식 섭취 가능.,"[""소화기계"", ""내시경"", ""검사후간호""]",샘플 시드 (Day 3),
NURSING,성인간호학,소화기계,MEDIUM,SINGLE_CHOICE,간경변증 환자에게 식이로 제한해야 할 영양소는?,"[""탄수화물"", ""지방"", ""단백질(간성혼수 시)"", ""비타민"", ""식이섬유""]",2,간성혼수가 발생하면 암모니아 생성을 줄이기 위해 단백질 섭취를 제한한다.,"[""소화기계"", ""간경변"", ""영양""]",샘플 시드 (Day 3),
NURSING,성인간호학,내분비계,MEDIUM,SINGLE_CHOICE,당뇨병 환자의 저혈당 증상이 아닌 것은?,"[""발한"", ""떨림"", ""심계항진"", ""다뇨"", ""혼동""]",3,"다뇨(polyuria)는 고혈당의 대표 증상. 저혈당은 자율신경 항진(발한, 떨림, 심계항진)과 신경학적 증상(혼동, 의식저하).","[""내분비"", ""당뇨"", ""저혈당""]",샘플 시드 (Day 3),
NURSING,성인간호학,내분비계,EASY,SINGLE_CHOICE,1형 당뇨병의 가장 적절한 치료법은?,"[""식이요법만"", ""운동요법만"", ""경구혈당강하제"", ""인슐린 주사"", ""한약 복용""]",3,1형 당뇨병은 췌장 베타세포가 파괴되어 인슐린 분비가 거의 없으므로 인슐린 보충이 필수.,"[""내분비"", ""당뇨"", ""인슐린""]",샘플 시드 (Day 3),
